N2, 2016-05-31 20:51:59, -0.06, 2.03, 9.06
N3, 2016-05-31 20:52:00, 2.91, -0.06, 9.18
N4, 2016-05-31 20:52:00, -0.84, 0.15, 9.46
N5, 2016-05-31 20:52:01, 65535
N2, 2016-05-31 20:52:01, 0.04, 1.97, 9.06
N3, 2016-05-31 20:52:01, 2.89, -0.06, 9.16
N4, 2016-05-31 20:52:02, -0.84, 0.21, 9.46
N5, 2016-05-31 20:52:02, 65535
N2, 2016-05-31 20:52:02, 0.00, 1.95, 9.10
N3, 2016-05-31 20:52:02, 2.87, -0.06, 9.18
N4, 2016-05-31 20:52:02, -0.79, 0.17, 9.46
N5, 2016-05-31 20:52:02, 65535
N2, 2016-05-31 20:52:03, -0.04, 1.99, 9.16
N3, 2016-05-31 20:52:03, 2.91, -0.13, 9.18
N4, 2016-05-31 20:52:03, -0.79, 0.25, 9.50
N5, 2016-05-31 20:52:03, 65535
N2, 2016-05-31 20:52:03, 0.00, 2.05, 9.08
N3, 2016-05-31 20:52:03, 2.84, -0.04, 9.12
N4, 2016-05-31 20:52:03, -0.98, 0.27, 9.45
N5, 2016-05-31 20:52:03, 65535
N2, 2016-05-31 20:52:03, 0.00, 1.97, 9.04
N3, 2016-05-31 20:52:03, 2.84, -0.04, 9.18
N4, 2016-05-31 20:52:04, -0.80, 0.13, 9.50
N5, 2016-05-31 20:52:04, 65535
N2, 2016-05-31 20:52:04, 0.02, 2.03, 9.06
N3, 2016-05-31 20:52:04, 2.93, 0.00, 9.29
N4, 2016-05-31 20:52:04, -0.77, 0.23, 9.52
N5, 2016-05-31 20:52:04, 65535
N2, 2016-05-31 20:52:04, 0.00, 1.97, 9.04
N3, 2016-05-31 20:52:04, 2.93, 0.04, 9.27
N4, 2016-05-31 20:52:04, -0.79, 0.19, 9.50
N5, 2016-05-31 20:52:05, 65535
N2, 2016-05-31 20:52:05, -0.04, 2.03, 9.04
N3, 2016-05-31 20:52:05, 2.91, -0.06, 9.25
N4, 2016-05-31 20:52:05, -0.77, 0.17, 9.48
N5, 2016-05-31 20:52:05, 65535
N2, 2016-05-31 20:52:05, -0.04, 2.01, 9.12
N3, 2016-05-31 20:52:06, 2.87, -0.06, 9.04
N4, 2016-05-31 20:52:06, -0.82, 0.25, 9.45
N5, 2016-05-31 20:52:06, 65535
N2, 2016-05-31 20:52:06, 0.04, 2.05, 9.06
N3, 2016-05-31 20:52:06, 2.89, -0.11, 9.23
N4, 2016-05-31 20:52:06, -0.84, 0.21, 9.50
N5, 2016-05-31 20:52:06, 65535
N2, 2016-05-31 20:52:06, -0.04, 1.99, 8.87
N3, 2016-05-31 20:52:07, 2.85, -0.08, 9.16
N5, 2016-05-31 20:52:07, 65535
N2, 2016-05-31 20:52:07, -0.02, 2.05, 9.04
N3, 2016-05-31 20:52:07, 2.82, -0.02, 9.08
N4, 2016-05-31 20:52:07, -0.88, 0.19, 9.45
N5, 2016-05-31 20:52:07, 65535
N2, 2016-05-31 20:52:07, -0.04, 2.05, 9.06
N3, 2016-05-31 20:52:08, 2.91, -0.04, 9.25
N4, 2016-05-31 20:52:08, -0.79, 0.25, 9.45
N5, 2016-05-31 20:52:08, 65535
N2, 2016-05-31 20:52:08, -0.02, 2.05, N3, 2016-05-31 20:52:08, 2.84, -0.06, 9.25
N4, 2016-05-31 20:52:08, -0.80, 0.17, 9.54
N5, 2016-05-31 20:52:08, 65535
N2, 2016-05-31 20:52:08, 0.04, 2.03, 9.06
N3, 2016-05-31 20:52:09, 2.87, -0.08, 9.14
N4, 2016-05-31 20:52:09, -0.79, 0.23, 9.46
N5, 2016-05-31 20:52:09, 65535
N2, 2016-05-31 20:52:09, -0.04, 2.05, 9.14
N3, 2016-05-31 20:52:09, 2.89, -0.08, 9.16
N4, 2016-05-31 20:52:09, -0.79, 0.21, 9.52
N5, 2016-05-31 20:52:09, 65535
N2, 2016-05-31 20:52:09, 0.00, 2.07, 9.00
N4, 2016-05-31 20:52:09, -0.79, 0.19, 9.46
N5, 2016-05-31 20:52:10, 65535
N2, 2016-05-31 20:52:10, -0.02, 2.03, 9.08
N3, 2016-05-31 20:52:10, 2.89, -0.02, 9.14
N4, 2016-05-31 20:52:10, -0.88, 0.23, 9.50
N5, 2016-05-31 20:52:10, 65535
N2, 2016-05-31 20:52:10, 0.02, 2.05, 9.04
N3, 2016-05-31 20:52:10, 2.91, -0.04, 9.16
N4, 2016-05-31 20:52:10, -0.80, 0.25, 9.50
N5, 2016-05-31 20:52:11, 65535
N2, 2016-05-31 20:52:11, 0.00, 2.01, 9.10
N3, 2016-05-31 20:52:11, 2.89, -0.04, 9.16
N4, 2016-05-31 20:52:11, -0.73, 0.17, 9.39
N5, 2016-05-31 20:52:11, 65535
N2, 2016-05-31 20:52:11, 0.02, 2.11, 9.10
N3, 2016-05-31 20:52:11, 2.91, -0.06, 9.18
N4, 2016-05-31 20:52:11, -0.80, 0.19, 9.50
N5, 2016-05-31 20:52:11, 65535
N2, 2016-05-31 20:52:12, -0.04, 2.03, 9.00
N3, 2016-05-31 20:52:12, 2.85, -0.06, 9.20
N4, 2016-05-31 20:52:12, -0.77, 0.17, 9.50
N5, 2016-05-31 20:52:12, 65535
N2, 2016-05-31 20:52:12, -0.04, 2.07, 9.04
N3, 2016-05-31 20:52:12, 2.78, -0.06, 9.16
N4, 2016-05-31 20:52:12, -0.80, 0.13, 9.43
N5, 2016-05-31 20:52:13, 65535
N2, 2016-05-31 20:52:13, 0.02, 1.97, 9.08
N3, 2016-05-31 20:52:13, 2.87, -0.04, 9.18
N4, 2016-05-31 20:52:13, -0.82, 0.23, 9.45
N5, 2016-05-31 20:52:13, 65535
N2, 2016-05-31 20:52:13, 0.02, 1.99, 9.12
N3, 2016-05-31 20:52:13, 2.91, -0.06, 9.12
N4, 2016-05-31 20:52:13, -0.77, 0.19, 9.56
N5, 2016-05-31 20:52:13, 65535
N2, 2016-05-31 20:52:14, 0.06, 2.01, 9.04
N3, 2016-05-31 20:52:14, 2.93, -0.06, 9.14
N4, 2016-05-31 20:52:14, -0.84, 0.21, 9.54
N5, 2016-05-31 20:52:14, 65535
N2, 2016-05-31 20:52:14, -0.02, 2.05, 9.04
N3, 2016-05-31 20:52:14, 2.84, -0.06, 9.27
N4, 2016-05-31 20:52:14, -0.80, 0.25, 9.48
N5, 2016-05-31 20:52:14, 65535
N2, 2016-05-31 20:52:14, -0.02, 1.97, 9.06
N3, 2016-05-31 20:52:15, 2.95, -0.06, 9.14
N4, 2016-05-31 20:52:15, -0.82, 0.27, 9.46
N5, 2016-05-31 20:52:15, 65535
N2, 2016-05-31 20:52:15, -0.04, 2.07, 9.08
N3, 2016-05-31 20:52:15, 2.87, -0.06, 9.20
N4, 2016-05-31 20:52:15, -0.79, 0.19, 9.46
N5, 2016-05-31 20:52:15, 65535
N2, 2016-05-31 20:52:16, 0.00, 1.93, 9.12
N3, 2016-05-31 20:52:16, 2.87, -0.02, 9.20
N4, 2016-05-31 20:52:16, -0.80, 0.19, 9.52
N5, 2016-05-31 20:52:16, 65535
N2, 2016-05-31 20:52:16, 0.02, 2.05, 9.06
N3, 2016-05-31 20:52:16, 2.85, -0.06, 9.10
N4, 2016-05-31 20:52:16, -0.79, 0.21, 9.48
N5, 2016-05-31 20:52:16, 65535
N2, 2016-05-31 20:52:17, 0.02, 1.99, 9.06
N3, 2016-05-31 20:52:17, 2.93, -0.06, 9.27
N4, 2016-05-31 20:52:17, -0.77, 0.17, 9.52
N5, 2016-05-31 20:52:17, 65535
N2, 2016-05-31 20:52:17, 0.00, 2.03, 9.04
N3, 2016-05-31 20:52:17, 2.89, -0.06, 9.18
N4, 2016-05-31 20:52:17, -0.88, 0.23, 9.46
N5, 2016-05-31 20:52:17, 65535
N2, 2016-05-31 20:52:18, 0.00, 2.05, 9.04
N3, 2016-05-31 20:52:18, 2.93, -0.06, 9.14
N4, 2016-05-31 20:52:18, -0.88, 0.17, 9.48
N5, 2016-05-31 20:52:18, 65535
N2, 2016-05-31 20:52:18, -0.02, 2.05, 9.08
N3, 2016-05-31 20:52:18, 2.84, -0.06, 9.18
N4, 2016-05-31 20:52:18, -0.75, 0.15, 9.48
N5, 2016-05-31 20:52:18, 65535
N2, 2016-05-31 20:52:19, -0.04, 2.11, 9.04
N4, 2016-05-31 20:52:19, -0.77, 0.17, 9.41
N5, 2016-05-31 20:52:19, 65535
N2, 2016-05-31 20:52:19, -0.06, 1.99, 9.10
N3, 2016-05-31 20:52:19, 2.89, -0.08, 9.18
N4, 2016-05-31 20:52:19, -0.86, 0.13, 9.43
N5, 2016-05-31 20:52:19, 65535
N2, 2016-05-31 20:52:20, 0.02, 2.11, N3, 2016-05-31 20:52:20, 2.82, 0.00, 9.06
N4, 2016-05-31 20:52:20, -0.80, 0.19, 9.46
N5, 2016-05-31 20:52:20, 65535
N2, 2016-05-31 20:52:20, 0.02, 2.07, 9.10
N3, 2016-05-31 20:52:20, 2.91, -0.11, 9.22
N4, 2016-05-31 20:52:20, -0.79, 0.17, 9.46
N5, 2016-05-31 20:52:20, 65535
N2, 2016-05-31 20:52:20, 0.00, 2.05, 9.04
N3, 2016-05-31 20:52:21, 2.85, -0.04, 9.18
N4, 2016-05-31 20:52:21, -0.77, 0.23, 9.52
N5, 2016-05-31 20:52:21, 65535
N2, 2016-05-31 20:52:21, 0.00, 2.05, 9.10
N3, 2016-05-31 20:52:21, 2.95, -0.06, 9.20
N4, 2016-05-31 20:52:21, -0.80, 0.21, 9.48
N5, 2016-05-31 20:52:21, 65535
N2, 2016-05-31 20:52:21, 0.02, 2.01, 9.12
N3, 2016-05-31 20:52:21, 2.89, -0.04, 9.20
N4, 2016-05-31 20:52:21, -0.79, 0.21, 9.45
N5, 2016-05-31 20:52:22, 65535
N3, 2016-05-31 20:52:22, 2.91, -0.06, 9.23
N4, 2016-05-31 20:52:22, -0.82, 0.23, 9.45
N5, 2016-05-31 20:52:22, 65535
N2, 2016-05-31 20:52:22, -0.02, 2.09, 9.04
N3, 2016-05-31 20:52:22, 2.89, -0.04, 9.20
N5, 2016-05-31 20:52:22, 65535
N2, 2016-05-31 20:52:23, -0.02, 2.05, 9.06
N3, 2016-05-31 20:52:23, 2.87, -0.11, 9.18
